                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93693,                 3.6439,                 1.2053,                0.00384,                0.88372,                0.11754,                0.06066,                0.67946,                 3.3442,                 1.0497,                0.00014,                0.00014,                0.00014
                      2,                0.92397,                 3.1118,                 1.0858,                0.00394,                0.90698,                0.43942,                0.26515,                0.78528,                   3.16,                 1.0543,             0.00029406,             0.00029406,             0.00029406
                      3,                 1.0055,                 2.5108,                 1.0667,                0.00374,                0.86047,                0.59926,                0.38834,                 1.0292,                 3.3823,                  1.169,             0.00044178,             0.00044178,             0.00044178
                      4,                  1.062,                 2.2099,                 1.0889,                0.00323,                0.74419,                 0.1271,                0.05551,                 1.4447,                 3.9829,                 1.7643,             0.00058317,             0.00058317,             0.00058317
                      5,                   1.11,                 1.6971,                 1.0869,                0.00323,                0.74419,                0.11336,                0.08467,                 1.8626,                 4.1421,                 2.2421,             0.00071822,             0.00071822,             0.00071822
                      6,                 1.0418,                 1.6438,                  1.043,                0.00394,                0.90698,                0.37647,                0.26887,                 1.1779,                 3.6832,                 1.3094,             0.00084694,             0.00084694,             0.00084694
                      7,                 1.1379,                 1.7655,                 1.1489,                0.00404,                0.93023,                0.46464,                0.32707,                0.83859,                 3.2319,                 1.1011,             0.00096932,             0.00096932,             0.00096932
                      8,                 1.0897,                  1.772,                 1.1423,                0.00404,                0.93023,                0.61855,                0.36438,                 0.9986,                 3.2599,                 1.2544,              0.0010854,              0.0010854,              0.0010854
                      9,                 1.0473,                 1.6069,                  1.149,                0.00404,                0.93023,                0.08737,                0.03636,                 1.3092,                 3.5819,                 1.4433,              0.0011951,              0.0011951,              0.0011951
                     10,                 1.0005,                 1.5059,                 1.1103,                0.00404,                0.93023,                 0.1467,                0.07467,                 1.3445,                 3.4902,                  1.464,              0.0012984,              0.0012984,              0.0012984
                     11,                0.99678,                 1.3973,                 1.0861,                0.74166,                0.26743,                0.40287,                0.26614,                   1.23,                 2.9667,                 1.3338,              0.0013955,              0.0013955,              0.0013955
                     12,                 1.0645,                 1.4672,                 1.1183,                0.84571,                0.25502,                0.45273,                0.30349,                 1.4808,                 3.1898,                 1.3957,              0.0014862,              0.0014862,              0.0014862
                     13,                 1.0511,                 1.4335,                  1.107,                0.83923,                0.44186,                0.55309,                0.39776,                 1.3029,                  2.814,                 1.3747,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.105,                 1.5736,                 1.2006,                0.37632,                0.39535,                 0.2851,                0.17467,                 1.2362,                 3.1584,                 1.3212,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0105,                 1.3468,                 1.1084,                0.84396,                0.37756,                0.50045,                0.31735,                 1.1594,                 2.8767,                 1.2934,              0.0014456,              0.0014456,              0.0014456
                     16,                0.99942,                 1.2782,                 1.1122,                0.83616,                0.59361,                 0.6268,                0.36371,                 1.2925,                 2.6885,                  1.338,               0.001406,               0.001406,               0.001406
                     17,                 1.0196,                 1.1824,                 1.1003,                0.79299,                0.62791,                0.70348,                0.44863,                 1.2699,                 2.1961,                 1.2946,              0.0013664,              0.0013664,              0.0013664
                     18,                0.91505,                 1.1348,                 1.0345,                 0.9319,                0.74419,                0.80556,                 0.5106,                 1.2817,                 2.1689,                  1.298,              0.0013268,              0.0013268,              0.0013268
                     19,                0.95611,                 1.1065,                 1.0726,                0.88966,                0.75012,                 0.8247,                0.55267,                0.98306,                  1.977,                 1.1805,              0.0012872,              0.0012872,              0.0012872
                     20,                0.95913,                 1.1148,                 1.0849,                0.82262,                0.75509,                0.80864,                 0.5178,                 1.1787,                 1.8118,                 1.2905,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.008,                  1.094,                 1.0794,                0.93921,                0.72093,                 0.8274,                0.56978,                 1.4327,                 1.8637,                 1.4435,               0.001208,               0.001208,               0.001208
                     22,                 1.0061,                 1.1537,                 1.0772,                 0.8124,                0.80581,                0.84552,                0.57041,                 1.4805,                 1.6734,                 1.7445,              0.0011684,              0.0011684,              0.0011684
                     23,                0.96746,                 1.0276,                 1.1001,                0.93465,                0.86047,                0.88556,                0.56844,                 1.5308,                 1.4477,                 1.6359,              0.0011288,              0.0011288,              0.0011288
                     24,                 0.8867,                 1.0024,                 1.0759,                0.93927,                0.81395,                0.86528,                0.53212,                 1.5847,                 1.4942,                 1.6749,              0.0010892,              0.0010892,              0.0010892
                     25,                0.89654,                0.98611,                 1.0435,                0.91635,                0.83721,                0.87473,                0.59251,                 1.0795,                 1.3273,                 1.2961,              0.0010496,              0.0010496,              0.0010496
                     26,                0.89667,                 1.0108,                 1.0672,                0.91281,                0.83721,                 0.8872,                0.57406,                 1.2452,                 1.4439,                  1.308,                0.00101,                0.00101,                0.00101
                     27,                0.89557,                0.93519,                 1.0736,                0.94807,                0.88372,                 0.9094,                0.59056,                 1.1361,                 1.1682,                 1.2676,              0.0009704,              0.0009704,              0.0009704
                     28,                0.92045,                 1.1282,                 1.1068,                0.92358,                0.93023,                0.89979,                0.58597,                  1.115,                 1.1743,                 1.2304,              0.0009308,              0.0009308,              0.0009308
                     29,                0.82708,                0.92397,                 1.0254,                0.92654,                0.88372,                 0.9117,                 0.6029,                 1.0776,                 1.1614,                 1.2381,              0.0008912,              0.0008912,              0.0008912
                     30,                0.80604,                0.87174,                 1.0097,                0.87866,                0.84211,                 0.9058,                0.62068,                  1.103,                 1.1962,                 1.2414,              0.0008516,              0.0008516,              0.0008516
                     31,                0.88301,                0.84597,                 1.0295,                0.88192,                0.88372,                0.90662,                0.61107,                  1.154,                  1.188,                 1.2798,               0.000812,               0.000812,               0.000812
                     32,                0.82314,                0.84037,                0.99346,                0.83185,                0.93023,                0.89677,                0.60016,                 1.1744,                 1.0452,                 1.2787,              0.0007724,              0.0007724,              0.0007724
                     33,                0.76848,                0.76412,                 1.0284,                0.92202,                0.83721,                0.88033,                0.60603,                  1.141,                 1.1572,                 1.2791,              0.0007328,              0.0007328,              0.0007328
                     34,                0.91269,                0.89873,                 1.1108,                0.90628,                0.89961,                0.89629,                0.64783,                 1.0071,                 1.2131,                 1.1998,              0.0006932,              0.0006932,              0.0006932
                     35,                0.79017,                0.80399,                 1.0404,                0.94866,                0.85943,                0.89596,                0.64427,                0.94783,                  1.174,                 1.1601,              0.0006536,              0.0006536,              0.0006536
                     36,                0.74513,                0.76288,                  1.003,                0.94853,                0.85717,                0.90227,                0.65461,                0.99496,                 1.0861,                 1.1703,               0.000614,               0.000614,               0.000614
                     37,                0.79121,                0.73011,                 1.0308,                0.90207,                0.90698,                0.92335,                0.65818,                 1.0108,                0.97316,                 1.1925,              0.0005744,              0.0005744,              0.0005744
                     38,                0.74643,                0.75056,                 1.0042,                0.88615,                0.90508,                0.91809,                0.66458,                0.95833,                 1.0151,                 1.1895,              0.0005348,              0.0005348,              0.0005348
                     39,                0.78146,                0.72338,                 1.0095,                0.94722,                0.83721,                0.91436,                0.63771,                 1.0051,                 1.0936,                 1.1821,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.7142,                0.68394,                0.97861,                0.94619,                0.86047,                0.90718,                0.62393,                 1.0118,                 1.1851,                 1.2167,              0.0004556,              0.0004556,              0.0004556
                     41,                0.69202,                0.76984,                0.97249,                 0.9447,                0.83721,                0.89349,                0.61086,                0.95883,                 1.2996,                  1.199,               0.000416,               0.000416,               0.000416
                     42,                0.75949,                0.72067,                 1.0001,                0.92303,                0.83671,                0.85509,                0.59009,                0.86115,                 1.4629,                 1.1591,              0.0003764,              0.0003764,              0.0003764
                     43,                0.64368,                 0.7283,                0.94266,                0.89911,                0.82918,                0.86489,                0.57941,                0.87783,                  1.388,                  1.162,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.7152,                0.74992,                 1.0074,                0.90221,                0.85831,                0.89704,                0.61275,                0.83005,                 1.0442,                 1.1262,              0.0002972,              0.0002972,              0.0002972
                     45,                0.68437,                0.71951,                0.97615,                0.87764,                0.88372,                0.90532,                0.63697,                0.81502,                0.88358,                 1.1138,              0.0002576,              0.0002576,              0.0002576
                     46,                0.64613,                0.67211,                  0.938,                0.86851,                0.92179,                0.91919,                0.65273,                0.85042,                0.83751,                 1.1191,               0.000218,               0.000218,               0.000218
                     47,                0.67756,                0.67564,                0.95585,                0.92917,                0.88372,                0.92282,                0.64298,                0.86962,                0.84769,                 1.1291,              0.0001784,              0.0001784,              0.0001784
                     48,                0.66651,                0.68327,                0.99211,                 0.9251,                0.88372,                0.92315,                0.63172,                0.88941,                 0.8502,                 1.1322,              0.0001388,              0.0001388,              0.0001388
